ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV3722,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,100%,Ceratobasidium,99%,Ceratobasidium_sp_JTO092|SH224054.06FU,98%
ASV3727,+,Fungi,100%,Basidiomycota,75%,Tremellomycetes,65%,Tremellales,47%,Incertae_sedis_12,42%,Bullera,25%,Bullera_sakaeratica|SH240284.06FU,22%
ASV3729,+,Fungi,100%,Basidiomycota,52%,Exobasidiomycetes,7%,Entylomatales,6%,Entylomataceae,6%,Entyloma,6%,Entyloma_eschscholziae|SH228435.06FU,1%
ASV3730,+,Fungi,100%,Ascomycota,98%,Dothideomycetes,92%,Pleosporales,92%,Sporormiaceae,88%,Westerdykella,71%,Westerdykella_sp_WQ63|SH190485.06FU,58%
ASV3731,+,Fungi,100%,Ascomycota,100%,Incertae_sedis_14,100%,Incertae_sedis_15,100%,Incertae_sedis_16,100%,Torula,100%,Torula_sp|SH230789.06FU,100%
ASV3734,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Pleosporaceae,100%,Bipolaris,100%,Bipolaris_portulacae|SH224871.06FU,100%
ASV3735,+,Fungi,100%,Fungi_unidentified,42%,Fungi_unidentified_1,42%,Fungi_unidentified_1,42%,Fungi_unidentified_1_1,42%,Fungi_unidentified_1_1,42%,Fungi_sp|SH235187.06FU,34%
ASV3736,+,Fungi,100%,Chytridiomycota,66%,Chytridiomycota_unidentified,26%,Chytridiomycota_unidentified_1,26%,Chytridiomycota_unidentified_1,26%,Chytridiomycota_unidentified_1_1,26%,Chytridiomycota_sp|SH233268.06FU,19%
ASV3737,+,Fungi,100%,Glomeromycota,99%,Glomeromycota_unidentified,60%,Glomeromycota_unidentified_1,60%,Glomeromycota_unidentified_1,60%,Glomeromycota_unidentified_1_1,60%,Glomeromycota_sp|SH236339.06FU,50%
ASV3738,+,Fungi,100%,Basidiomycota,100%,Incertae_sedis_4,100%,Malasseziales,100%,Incertae_sedis_5,100%,Malassezia,100%,Malassezia_sympodialis|SH218102.06FU,100%
ASV3739,+,Fungi,100%,Fungi_unidentified,25%,Fungi_unidentified_1,25%,Fungi_unidentified_1,25%,Fungi_unidentified_1_1,25%,Fungi_unidentified_1_1,25%,Fungi_sp|SH237583.06FU,25%
ASV3741,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Cantharellales,100%,Ceratobasidiaceae,100%,Thanatephorus,99%,Thanatephorus_sp_RGR38|SH192477.06FU,99%
ASV3742,+,Fungi,99%,Fungi_unidentified,28%,Fungi_unidentified_1,28%,Fungi_unidentified_1,28%,Fungi_unidentified_1_1,28%,Fungi_unidentified_1_1,28%,Fungi_sp|SH216325.06FU,25%
ASV3743,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Russulales,100%,Peniophoraceae,100%,Peniophoraceae_unidentified,100%,Peniophoraceae_sp|SH234601.06FU,100%
ASV3744,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Sporormiaceae,100%,Preussia,100%,Preussia_pseudominima|SH190479.06FU,95%
ASV3745,+,Fungi,100%,Glomeromycota,5%,Glomeromycetes,5%,Diversisporales,3%,Acaulosporaceae,2%,Acaulosporaceae_unidentified,1%,Acaulosporaceae_sp|SH195299.06FU,1%
ASV3746,+,Fungi,100%,Chytridiomycota,69%,Chytridiomycota_unidentified,38%,Chytridiomycota_unidentified_1,38%,Chytridiomycota_unidentified_1,38%,Chytridiomycota_unidentified_1_1,38%,Chytridiomycota_sp|SH233268.06FU,18%
ASV3747,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideomycetes_unidentified,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_sp|SH217123.06FU,100%
ASV3749,+,Fungi,100%,Fungi_unidentified,23%,Fungi_unidentified_1,23%,Fungi_unidentified_1,23%,Fungi_unidentified_1_1,23%,Fungi_unidentified_1_1,23%,Fungi_sp|SH234328.06FU,22%
ASV3751,+,Fungi,100%,Ascomycota,75%,Orbiliomycetes,39%,Orbiliales,39%,Orbiliaceae,39%,Orbilia,18%,Orbilia_vinosa|SH232456.06FU,18%
ASV3753,+,Fungi,100%,Basidiomycota,80%,Tremellomycetes,46%,Tremellales,39%,Incertae_sedis_12,37%,Fellomyces,10%,Fellomyces_ogasawarensis|SH195542.06FU,9%
ASV3757,+,Fungi,100%,Ascomycota,50%,Incertae_sedis_14,5%,Incertae_sedis_15,5%,Incertae_sedis_16,5%,Pulchromyces,5%,Pulchromyces_fimicola|SH227367.06FU,5%
ASV3761,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideomycetes_unidentified,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_sp|SH217123.06FU,100%
ASV3762,+,Fungi,100%,Ascomycota,60%,Lecanoromycetes,57%,Lecanoromycetes_unidentified,57%,Lecanoromycetes_unidentified_1,57%,Lecanoromycetes_unidentified_1,57%,Lecanoromycetes_sp|SH233468.06FU,57%
ASV3764,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Dothideomycetes_unidentified,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_unidentified_1,100%,Dothideomycetes_sp|SH196053.06FU,100%
ASV3765,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariales,100%,Sordariaceae,100%,Sordariaceae_unidentified,100%,Sordariaceae_sp|SH213057.06FU,70%
ASV3766,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,79%,Ascomycota_unidentified_1,79%,Ascomycota_unidentified_1,79%,Ascomycota_unidentified_1_1,79%,Ascomycota_sp|SH213531.06FU,79%
ASV3767,+,Fungi,100%,Ascomycota,85%,Sordariomycetes,67%,Hypocreales,44%,Ophiocordycipitaceae,32%,Ophiocordyceps,32%,Ophiocordyceps_formicarum|SH230805.06FU,27%
ASV3769,+,Fungi,100%,Ascomycota,87%,Eurotiomycetes,58%,Chaetothyriales,55%,Herpotrichiellaceae,53%,Herpotrichiellaceae_unidentified,39%,Herpotrichiellaceae_sp|SH241308.06FU,39%
ASV3770,+,Fungi,100%,Ascomycota,100%,Ascomycota_unidentified,93%,Ascomycota_unidentified_1,93%,Ascomycota_unidentified_1,93%,Ascomycota_unidentified_1_1,93%,Ascomycota_sp|SH196232.06FU,93%
ASV3775,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Incertae_sedis_3,100%,Myrothecium,100%,Myrothecium_gramineum|SH227386.06FU,100%
ASV3776,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,98%,Agaricales,98%,Agaricaceae,88%,Tulostoma,80%,Tulostoma_sp_KH_2011b|SH194067.06FU,79%
ASV3777,+,Fungi,100%,Fungi_unidentified,41%,Fungi_unidentified_1,41%,Fungi_unidentified_1,41%,Fungi_unidentified_1_1,41%,Fungi_unidentified_1_1,41%,Fungi_sp|SH212314.06FU,39%
ASV3778,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Capnodiales,99%,Capnodiales_unidentified,95%,Capnodiales_unidentified_1,95%,Capnodiales_sp|SH238941.06FU,88%
ASV3779,+,Fungi,100%,Ascomycota,95%,Pezizomycetes,73%,Pezizales,73%,Pyronemataceae,70%,Pyronemataceae_unidentified,69%,Pyronemataceae_sp|SH226417.06FU,32%
ASV3780,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Sporormiaceae,100%,Sporormiella,100%,Sporormiella_sp|SH227240.06FU,100%
ASV3781,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Sordariomycetes_unidentified,100%,Sordariomycetes_unidentified_1,100%,Sordariomycetes_unidentified_1,100%,Sordariomycetes_sp|SH227121.06FU,100%
ASV3782,+,Fungi,100%,Fungi_unidentified,8%,Fungi_unidentified_1,8%,Fungi_unidentified_1,8%,Fungi_unidentified_1_1,8%,Fungi_unidentified_1_1,8%,Fungi_sp|SH194666.06FU,4%
ASV3783,+,Fungi,100%,Ascomycota,94%,Sordariomycetes,59%,Sordariales,49%,Incertae_sedis_23,42%,Ascotaiwania,25%,Ascotaiwania_lignicola|SH238838.06FU,25%
ASV3784,+,Fungi,100%,Chytridiomycota,100%,Chytridiomycetes,99%,Rhizophlyctidales,99%,Rhizophlyctidaceae,99%,Rhizophlyctis,99%,Rhizophlyctis_rosea|SH205069.06FU,74%
ASV3785,+,Fungi,100%,Fungi_unidentified,39%,Fungi_unidentified_1,39%,Fungi_unidentified_1,39%,Fungi_unidentified_1_1,39%,Fungi_unidentified_1_1,39%,Fungi_sp|SH223086.06FU,2%
ASV3786,+,Fungi,100%,Chytridiomycota,66%,Chytridiomycetes,37%,Chytridiales,29%,Synchytriaceae,29%,Synchytrium,29%,Synchytrium_endobioticum|SH234051.06FU,28%
ASV3787,+,Fungi,100%,Glomeromycota,100%,Glomeromycetes,100%,Glomerales,97%,Glomerales_unidentified,35%,Glomerales_unidentified_1,35%,Glomerales_sp|SH222383.06FU,29%
ASV3788,+,Fungi,100%,Ascomycota,36%,Pezizomycetes,15%,Pezizales,15%,Pyronemataceae,11%,Scutellinia,2%,Scutellinia_sp|SH212839.06FU,2%
ASV3789,+,Fungi,100%,Ascomycota,66%,Incertae_sedis_14,34%,Incertae_sedis_15,34%,Incertae_sedis_16,34%,Knufia,18%,Knufia_perforans|SH209750.06FU,18%
ASV3790,+,Fungi,100%,Glomeromycota,19%,Glomeromycetes,15%,Archaeosporales,5%,Archaeosporaceae,5%,Archaeosporaceae_unidentified,5%,Archaeosporaceae_sp|SH230964.06FU,5%
ASV3791,+,Fungi,100%,Ascomycota,62%,Incertae_sedis_14,7%,Incertae_sedis_15,7%,Incertae_sedis_16,7%,Ochroconis,6%,Ochroconis_calidifluminalis|SH241393.06FU,6%
ASV3792,+,Fungi,100%,Fungi_unidentified,40%,Fungi_unidentified_1,40%,Fungi_unidentified_1,40%,Fungi_unidentified_1_1,40%,Fungi_unidentified_1_1,40%,Fungi_sp|SH235187.06FU,24%
ASV3793,+,Fungi,100%,Ascomycota,82%,Ascomycota_unidentified,21%,Ascomycota_unidentified_1,21%,Ascomycota_unidentified_1,21%,Ascomycota_unidentified_1_1,21%,Ascomycota_sp|SH239989.06FU,20%
ASV3797,+,Fungi,100%,Chytridiomycota,100%,Chytridiomycetes,100%,Spizellomycetales,100%,Spizellomycetaceae,100%,Powellomyces,100%,Powellomyces_sp_EA|SH206807.06FU,100%
