ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV3677,+,Fungi,100%,Ascomycota,66%,Pezizomycetes,31%,Pezizales,30%,Pezizaceae,6%,Pezizaceae_unidentified,6%,Pezizaceae_sp|SH214109.06FU,6%
ASV3678,+,Fungi,100%,Chytridiomycota,59%,Chytridiomycota_unidentified,32%,Chytridiomycota_unidentified_1,32%,Chytridiomycota_unidentified_1,32%,Chytridiomycota_unidentified_1_1,32%,Chytridiomycota_sp|SH233268.06FU,18%
ASV3680,+,Fungi,100%,Ascomycota,64%,Pezizomycetes,48%,Pezizales,48%,Pyronemataceae,45%,Scutellinia,10%,Scutellinia_sp|SH212839.06FU,7%
ASV3681,+,Fungi,100%,Ascomycota,78%,Lecanoromycetes,12%,Lecanorales,6%,Parmeliaceae,5%,Usnea,5%,Usnea_flavocardia|SH198789.06FU,5%
ASV3682,+,Fungi,100%,Chytridiomycota,74%,Chytridiomycota_unidentified,39%,Chytridiomycota_unidentified_1,39%,Chytridiomycota_unidentified_1,39%,Chytridiomycota_unidentified_1_1,39%,Chytridiomycota_sp|SH233268.06FU,38%
ASV3683,+,Fungi,100%,Glomeromycota,100%,Glomeromycetes,100%,Glomerales,100%,Glomeraceae,100%,Rhizophagus,50%,Rhizophagus_irregularis|SH204446.06FU,19%
ASV3684,+,Fungi,100%,Glomeromycota,84%,Glomeromycetes,83%,Glomerales,41%,Glomeraceae,37%,Glomus,26%,Glomus_tortuosum|SH190141.06FU,26%
ASV3686,+,Fungi,100%,Chytridiomycota,100%,Chytridiomycetes,100%,Olpidiales,100%,Olpidiaceae,100%,Olpidium,100%,Olpidium_brassicae|SH214989.06FU,100%
ASV3687,+,Fungi,100%,Basidiomycota,39%,Tremellomycetes,12%,Tremellales,12%,Tremellales_unidentified,8%,Tremellales_unidentified_1,8%,Tremellales_sp|SH229402.06FU,8%
ASV3688,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Bionectriaceae,95%,Hydropisphaera,95%,Hydropisphaera_sp|SH235787.06FU,95%
ASV3689,+,Fungi,100%,Ascomycota,79%,Pezizomycetes,18%,Pezizales,18%,Pezizales_unidentified,14%,Pezizales_unidentified_1,14%,Pezizales_sp|SH232403.06FU,14%
ASV3691,+,Fungi,100%,Fungi_unidentified,45%,Fungi_unidentified_1,45%,Fungi_unidentified_1,45%,Fungi_unidentified_1_1,45%,Fungi_unidentified_1_1,45%,Fungi_sp|SH239346.06FU,45%
ASV3692,+,Fungi,100%,Basidiomycota,100%,Exobasidiomycetes,100%,Tilletiales,100%,Tilletiaceae,100%,Tilletia,100%,Tilletia_barclayana|SH190708.06FU,98%
ASV3693,+,Fungi,100%,Ascomycota,82%,Dothideomycetes,73%,Capnodiales,69%,Incertae_sedis_17,20%,Capnobotryella,19%,Capnobotryella_sp|SH190932.06FU,18%
ASV3696,+,Fungi,100%,Zygomycota,87%,Incertae_sedis_10,87%,Mortierellales,86%,Mortierellaceae,85%,Mortierella,85%,Mortierella_sp|SH227414.06FU,83%
ASV3697,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Coniochaetales,95%,Coniochaetaceae,95%,Lecythophora,93%,Lecythophora_sp|SH226443.06FU,92%
ASV3698,+,Fungi,100%,Basidiomycota,98%,Agaricomycetes,97%,Trechisporales,93%,Hydnodontaceae,87%,Trechispora,87%,Trechispora_sp|SH228892.06FU,75%
ASV3699,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Coniochaetales,100%,Coniochaetaceae,100%,Lecythophora,100%,Lecythophora_sp|SH226452.06FU,97%
ASV3701,+,Fungi,100%,Ascomycota,94%,Sordariomycetes,87%,Xylariales,38%,Xylariaceae,9%,Xylaria,7%,Xylaria_sp_12c_co2|SH225814.06FU,2%
ASV3702,+,Fungi,100%,Zygomycota,100%,Incertae_sedis_10,100%,Kickxellales,100%,Kickxellaceae,100%,Ramicandelaber,100%,Ramicandelaber_sp_HMH_2010b|SH237552.06FU,71%
ASV3703,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Trechisporales,100%,Hydnodontaceae,100%,Trechispora,100%,Trechispora_sp|SH228892.06FU,100%
