ASV,fwd_rev,domain,conf.d,phylum,conf.p,class,conf.c,order,conf.o,family,conf.f,genus,conf.g,species,conf.s
ASV5944,+,Fungi,100%,Zygomycota,11%,Mucoromycotina_Incertae sedis,11%,Mortierellales,9%,Mortierellaceae,9%,Mortierella,9%,Mortierella epigama,8%
ASV5945,+,Fungi,100%,Basidiomycota,38%,Ustilaginomycetes,10%,Ustilaginales,10%,Ustilaginales_Incertae sedis,7%,Farysizyma,7%,Farysizyma itapuensis,7%
ASV5946,+,Fungi,100%,Basidiomycota,55%,Exobasidiomycetes,10%,Tilletiales,10%,Tilletiaceae,10%,Tilletia,10%,Tilletia moliniae,10%
ASV5947,+,Fungi,100%,Zygomycota,8%,Mucoromycotina_Incertae sedis,8%,Mortierellales,4%,Mortierellaceae,4%,Mortierella,4%,Mortierella epigama,4%
ASV5948,+,Fungi,100%,Chytridiomycota,17%,Chytridiomycetes,17%,Rhizophydiales,16%,Rhizophydiaceae,16%,Rhizophydium,16%,Rhizophydium pollinis_pini,7%
ASV5949,+,Fungi,100%,Ascomycota,61%,Taphrinomycetes,2%,Taphrinales,2%,Taphrinaceae,2%,Taphrina,2%,Taphrina epiphylla,2%
ASV5953,+,Fungi,100%,Basidiomycota,56%,Agaricomycetes,39%,Agaricales,27%,Agaricaceae,14%,Macrolepiota,13%,Macrolepiota fuliginosa,12%
ASV5954,+,Fungi,100%,Zygomycota,35%,Mucoromycotina_Incertae sedis,35%,Mucorales,32%,Pilobolaceae,17%,Pilobolus,17%,Pilobolus umbonatus,12%
ASV5955,+,Fungi,100%,Zygomycota,18%,Mucoromycotina_Incertae sedis,18%,Mortierellales,13%,Mortierellaceae,13%,Mortierella,13%,Mortierella epigama,11%
ASV5956,+,Fungi,100%,Basidiomycota,100%,Agaricomycetes,100%,Agaricales,98%,Agaricaceae,36%,Lepiota,26%,Lepiota rhodophylla,21%
ASV5957,+,Fungi,100%,Zygomycota,18%,Mucoromycotina_Incertae sedis,18%,Mortierellales,12%,Mortierellaceae,12%,Mortierella,12%,Mortierella epigama,6%
ASV5958,+,Fungi,100%,Zygomycota,6%,Mucoromycotina_Incertae sedis,6%,Mortierellales,6%,Mortierellaceae,6%,Mortierella,6%,Mortierella epigama,1%
ASV5959,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,77%,Dothidotthiaceae,77%,Barriopsis,77%,Barriopsis iraniana,77%
ASV5960,+,Fungi,100%,Zygomycota,15%,Mucoromycotina_Incertae sedis,15%,Mortierellales,15%,Mortierellaceae,15%,Mortierella,15%,Mortierella epigama,8%
ASV5964,+,Fungi,100%,Basidiomycota,47%,Agaricomycetes,31%,Agaricales,26%,Marasmiaceae,7%,Megacollybia,3%,Megacollybia clitocyboidea,2%
ASV5965,+,Fungi,100%,Basidiomycota,70%,Ustilaginomycetes,12%,Ustilaginales,12%,Ustilaginales_Incertae sedis,9%,Farysizyma,9%,Farysizyma itapuensis,9%
ASV5966,+,Fungi,100%,Basidiomycota,43%,Ustilaginomycetes,11%,Ustilaginales,11%,Ustilaginales_Incertae sedis,10%,Farysizyma,10%,Farysizyma itapuensis,10%
ASV5967,+,Fungi,100%,Zygomycota,20%,Mucoromycotina_Incertae sedis,12%,Mortierellales,3%,Mortierellaceae,3%,Mortierella,3%,Mortierella epigama,3%
ASV5968,+,Fungi,100%,Basidiomycota,46%,Agaricomycetes,30%,Agaricales,19%,Psathyrellaceae,8%,Psathyrella,8%,Psathyrella fibrillosa,8%
ASV5969,+,Fungi,100%,Chytridiomycota,90%,Chytridiomycetes,90%,Spizellomycetales,88%,Spizellomycetaceae,88%,Spizellomyces,87%,Spizellomyces dolichospermus,85%
ASV5970,+,Fungi,100%,Basidiomycota,46%,Agaricomycetes,37%,Agaricales,31%,Agaricaceae,8%,Macrolepiota,8%,Macrolepiota fuliginosa,8%
ASV5972,+,Fungi,100%,Basidiomycota,100%,Wallemiomycetes,100%,Wallemiales,100%,Wallemiaceae,100%,Wallemia,100%,Wallemia sebi,84%
ASV5973,+,Fungi,100%,Neocallimastigomycota,7%,Neocallimastigomycetes,7%,Neocallimastigales,7%,Neocallimastigaceae,7%,Cyllamyces,7%,Cyllamyces aberensis,7%
ASV5974,+,Fungi,100%,Ascomycota,66%,Sordariomycetes,25%,Sordariales,11%,Lasiosphaeriaceae,11%,Cladorrhinum,11%,Cladorrhinum phialophoroides,11%
ASV5975,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,100%,Hypocreales,100%,Ophiocordycipitaceae,100%,Hirsutella,100%,Hirsutella minnesotensis,100%
ASV5976,+,Fungi,100%,Ascomycota,100%,Dothideomycetes,100%,Pleosporales,100%,Leptosphaeriaceae,100%,Paraphoma,100%,Phoma sp BEA_2010,95%
ASV5977,+,Fungi,100%,Basidiomycota,47%,Agaricomycetes,31%,Agaricales,21%,Agaricaceae,5%,Macrolepiota,5%,Macrolepiota fuliginosa,4%
ASV5978,+,Fungi,100%,Ascomycota,100%,Sordariomycetes,99%,Sordariales,78%,Cephalothecaceae,57%,Phialemonium,57%,Phialemonium dimorphosporum,57%
ASV5979,+,Fungi,100%,Basidiomycota,48%,Agaricomycetes,26%,Agaricales,18%,Psathyrellaceae,9%,Psathyrella,8%,Psathyrella fibrillosa,8%
ASV5980,+,Fungi,100%,Ascomycota,51%,Saccharomycetes,24%,Saccharomycetales,24%,Saccharomycetales_Incertae sedis,18%,Candida,17%,Candida digboiensis,16%
ASV5981,+,Fungi,100%,Basidiomycota,80%,Agaricomycetes,70%,Agaricales,60%,Hygrophoraceae,31%,Camarophyllopsis,27%,Camarophyllopsis hymenocephala,27%
ASV5982,+,Fungi,100%,Ascomycota,92%,Leotiomycetes,85%,Helotiales,84%,Helotiales_Incertae sedis,84%,Tetracladium,84%,Tetracladium setigerum,38%
ASV5984,+,Fungi,100%,Chytridiomycota,32%,Chytridiomycetes,32%,Rhizophydiales,24%,Rhizophydiaceae,21%,Rhizophydium,21%,Rhizophydium pollinis_pini,4%
ASV5986,+,Fungi,100%,Ascomycota,74%,Eurotiomycetes,24%,Eurotiales,16%,Trichocomaceae,16%,Penicillium,13%,Penicillium brocae,13%
ASV5987,+,Fungi,100%,Basidiomycota,96%,Agaricomycetes,96%,Geastrales,89%,Geastraceae,89%,Geastrum,89%,Geastrum minimum,28%
