"","domain","phylum","class","order","family","genus","species"
"ASV1413","Fungi","","","","","",""
"ASV1417","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_unidentified","Sordariales_unidentified_1","Sordariales_sp|SH198732.06FU"
"ASV1418","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Togniniaceae","Phaeoacremonium","Phaeoacremonium parasiticum"
"ASV1427","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_unidentified","Tulasnellaceae_sp|SH203539.06FU"
"ASV1429","Fungi","Ascomycota","","","","",""
"ASV1433","Fungi","","","","","",""
"ASV1442","Fungi","Ascomycota","Sordariomycetes","Sordariales","","",""
"ASV1453","Fungi","Ascomycota","","","","",""
"ASV1466","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV1475","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Zopfiella","Zopfiella_marina|SH234927.06FU"
"ASV1503","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis rosea"
"ASV1507","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV1511","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis rosea"
"ASV1527","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora","Articulospora_sp|SH191098.06FU"
"ASV1538","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Ascomycota_unidentified_1","Ascomycota_unidentified_1_1","Ascomycota_sp|SH229315.06FU"
"ASV1547","Fungi","Ascomycota","Ascomycota_unidentified","Ascomycota_unidentified_1","Ascomycota_unidentified_1","Ascomycota_unidentified_1_1","Ascomycota_sp|SH226961.06FU"
"ASV1549","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Edenia","Edenia gomezpompae"
"ASV1567","Fungi","","","","","",""
"ASV1569","Fungi","Ascomycota","Pezizomycetes","Pezizomycetes_unidentified","Pezizomycetes_unidentified_1","Pezizomycetes_unidentified_1","Pezizomycetes_sp|SH212017.06FU"
"ASV1594","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV1619","Fungi","Ascomycota","","","","",""
"ASV1626","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Pisolithus","Pisolithus arhizus"
"ASV1633","Fungi","","","","","",""
"ASV1639","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Spizellomycetaceae","Powellomyces","Powellomyces_sp_EA|SH206807.06FU"
"ASV1669","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"ASV1684","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellales_Incertae sedis","Dioszegia","Dioszegia catarinonii"
"ASV1702","Fungi","","","","","",""
"ASV1704","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium floriforme"
"ASV1710","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","Spizellomyces dolichospermus"
"ASV1730","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_unidentified","Hypocreales_unidentified_1","Hypocreales_sp|SH223288.06FU"
"ASV1741","Fungi","Basidiomycota","","","","",""
"ASV1744","Fungi","Ascomycota","","","","",""
"ASV1748","Fungi","","","","","",""
"ASV1755","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis rosea"
"ASV1766","Fungi","Ascomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","Thanatephorus_cucumeris|SH235414.06FU"
"ASV1772","Fungi","Ascomycota","Dothideomycetes","","","",""
"ASV1812","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_unidentified","Dothideomycetes_unidentified_1","Dothideomycetes_unidentified_1","Dothideomycetes_sp|SH196053.06FU"
"ASV1814","Fungi","Zygomycota","Mucoromycotina_Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella epigama"
"ASV1818","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","Clitopilus scyphoides"
"ASV1826","Fungi","Ascomycota","Pezizomycotina_Incertae sedis","Pezizomycotina_Incertae sedis","Pezizomycotina_Incertae sedis","",""
"ASV1829","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"ASV1845","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV1864","Fungi","Ascomycota","","","","",""
"ASV1867","Fungi","Ascomycota","Dothideomycetes","Capnodiales","","",""
"ASV1870","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellales_Incertae sedis","Bulleromyces","Bulleromyces_albus|SH234350.06FU"
"ASV1876","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","cf_Phaeosphaeria_sp_CPC_12130|SH231532.06FU"
"ASV1881","Fungi","Basidiomycota","Agaricomycetes","Agaricales","","",""
"ASV1900","Fungi","Ascomycota","","","","",""
"ASV1911","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae_sedis_12","",""
"ASV1949","Fungi","Ascomycota","Sordariomycetes","Sordariales","","",""
"ASV1952","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia terricola"
"ASV2008","Fungi","","","","","",""
"ASV2012","Fungi","","","","","",""
"ASV2018","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinales_unidentified","Sebacinales_unidentified_1","Sebacinales_sp|SH210227.06FU"
"ASV2026","Fungi","Basidiomycota","Ustilaginomycotina_Incertae sedis","Malasseziales","Malasseziales_Incertae sedis","Malassezia","Malassezia restricta"
"ASV2032","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Phialophora verrucosa"
"ASV2057","Fungi","","","","","",""
"ASV2068","Fungi","Ascomycota","","","","",""
"ASV2069","Fungi","","","","","",""
"ASV2071","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meripilaceae","Rigidoporus","Oxyporus corticola"
"ASV2087","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Teratosphaeria","Teratosphaeria bellula"
"ASV2088","Fungi","","","","","",""
"ASV2110","Fungi","","","","","",""
"ASV2115","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","",""
"ASV2123","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_unidentified",""
"ASV2136","Fungi","","","","","",""
"ASV2140","Fungi","Ascomycota","","","","",""
"ASV2141","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus aerius"
"ASV2147","Fungi","","","","","",""
"ASV2149","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","cf_Phaeosphaeria_sp_CPC_12130|SH231532.06FU"
"ASV2160","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",""
"ASV2169","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV2181","Fungi","Ascomycota","Dothideomycetes","Fungi_unidentified_1","Fungi_unidentified_1_1","Fungi_unidentified_1_1","Fungi_sp|SH227807.06FU"
"ASV2193","Fungi","","","","","",""
"ASV2203","Fungi","","","","","",""
"ASV2207","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_unidentified","Hypocreales_unidentified_1",""
"ASV2227","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Hirsutella","Hirsutella minnesotensis"
"ASV2230","Fungi","Fungi_unidentified","Fungi_unidentified_1","Fungi_unidentified_1","Fungi_unidentified_1_1","Fungi_unidentified_1_1","Fungi_sp|SH239608.06FU"
"ASV2241","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Herpotrichiellaceae_unidentified","Herpotrichiellaceae_sp|SH211543.06FU"
"ASV2251","Fungi","Basidiomycota","","","","",""
"ASV2274","Fungi","Ascomycota","","","","",""
"ASV2301","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Pestalotiopsis","Pestalotiopsis karstenii"
"ASV2319","Fungi","","","","","",""
"ASV2322","Fungi","Ascomycota","","","","",""
"ASV2334","Fungi","Ascomycota","","","","",""
"ASV2362","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis rosea"
"ASV2367","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cladorrhinum","Cladorrhinum_sp|SH223697.06FU"
"ASV2382","Fungi","Ascomycota","","","","",""
"ASV2404","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Aplosporellaceae","Aplosporella","Aplosporella_sp|SH226561.06FU"
"ASV2427","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV2433","Fungi","Zygomycota","Mucoromycotina_Incertae sedis","Mortierellales","Mortierellaceae","Mortierella",""
"ASV2452","Fungi","Ascomycota","Eurotiomycetes","Incertae_sedis_18","Incertae_sedis_40","Sarcinomyces",""
"ASV2483","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","","",""
"ASV2508","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Dissoconium","Dissoconium_proteae|SH197939.06FU"
"ASV2525","Fungi","","","","","",""
"ASV2535","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe rickenii"
"ASV2547","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","Clitopilus scyphoides"
"ASV2584","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Meyerozyma","Meyerozyma caribbica"
"ASV2605","Fungi","Ascomycota","","","","",""
"ASV2629","Fungi","Chytridiomycota","","","","",""
"ASV2637","Fungi","","","","","",""
"ASV2647","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Montagnulaceae","Paraphaeosphaeria","Paraphaeosphaeria michotii"
"ASV2658","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV2665","Fungi","","","","","",""
"ASV2711","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis rosea"
"ASV2748","Fungi","","","","","",""
"ASV2778","Fungi","","","","","",""
"ASV2792","Fungi","","","","","",""
"ASV2796","Fungi","Ascomycota","Sordariomycetes","Xylariales","","",""
"ASV2801","Fungi","","","","","",""
"ASV2813","Fungi","","","","","",""
